Indice,nome,ref,design,Data,Quant,Eur,numero_de_cliente
96,"ANTÓNIO RELVAS & FILHOS, LDA",J.PEL006,RODEX TRIGO - 150GR,2023,0,0,18A
97,"ANTÓNIO RELVAS & FILHOS, LDA",J.PEL007,ROBAN PASTA - 150GR,2023,0,0,18A
98,"ANTÓNIO RELVAS & FILHOS, LDA",J.PEL010,VERTOX FORTE PASTA - 1KG,2023,0,0,18A
99,"ANTÓNIO RELVAS & FILHOS, LDA",J.QM0034,MURIBROM PASTA BRODIF. - 1.5 KG 50PPM,2023,0,0,18A
100,"ANTÓNIO RELVAS & FILHOS, LDA",J.QM0035,DIPTRON RTU - 500ML,2023,0,0,18A
101,"ANTÓNIO RELVAS & FILHOS, LDA",J.SP0009,BORDOGREEN CONCENTRADO-100ML,2023,0,0,18A
102,"ANTÓNIO RELVAS & FILHOS, LDA",J.UNIV0015,"ARPON ""G"" - 100ML",2023,0,0,18A
103,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.BARC002,GLYFOFLASH XL - 5LT,2023,0,0,2796
104,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.BARC003,GLYFOFLASH XL - 20LT,2023,0,0,2796
105,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.JOV00020,FORMIGEL - 3UN,2023,27,52.33,2796
106,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.JOV00030,FERREX JARDIM - 300GR,2023,44,1494,2796
107,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.JOV00047,ZUM LACA - 300ML,2023,24,92.34,2796
108,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.JOV00052,100 MOSCAS - 1LT+SAQUETA,2023,12,991,2796
109,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.JOV00053,100 MOSCAS - 4x20gr,2023,6,37.96,2796
110,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.JOV00054,100 MOSCAS - 240gr,2023,6,55.92,2796
111,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.JOV00055,100 MOSCAS - ARM 10lt,2023,6,84.13,2796
112,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.QM0010,DIPTRON - 100ML,2023,72,677.76,2796
113,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.QM0013,MASTERFLY - 1LT,2023,48,248.4,2796
114,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.QM0014,MASTERFLY  VESPAS- 1LT,2023,108,810.54,2796
115,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.QM0035,DIPTRON RTU - 500ML,2023,0,0,2796
116,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.QM0036,MASTERFLY - 520ML,2023,132,594,2796
117,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.UNIV0015,"ARPON ""G"" - 100ML",2023,72,419.52,2796
118,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.UNIV0075,FIPON MONO GATOS,2023,30,64.4,2796
119,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.UNIV0076,FIPON MONO CÃO S,2023,30,71.69,2796
120,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.UNIV0077,FIPON MONO CÃO M,2023,30,80.19,2796
121,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.UNIV0078,FIPON MONO CÃO L,2023,30,95.99,2796
122,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.UNIV0079,FIPON MONO CÃO XL,2023,30,100.85,2796
123,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.ZA00077,TOPAZE - 70 ML,2023,80,304.85,2796
124,ARMAZÉM DO AGRICULTOR-COM.DE PROD.AGRIC.LDA.,J.ZA00088,QUADRIS MAX -150 ML,2023,40,227.7,2796
125,"ATILIO MOREIRA UNIPESSOAL, LDA",J.BIAG006,FOLI-STOP 1KG,2023,0,0,17A
126,"BARATA & IRMAOS SOC AGRO PECUARIA, LDA",J.DAY0060,"NATURAMIN-WSP - 0,5KG",2023,30,374.49,5343
127,"BARATA & IRMAOS SOC AGRO PECUARIA, LDA",J.JOV00030,FERREX JARDIM - 300GR,2023,44,1494,5343
128,"BARATA & IRMAOS SOC AGRO PECUARIA, LDA",J.QM0010,DIPTRON - 100ML,2023,24,2383,5343
129,"BARATA & IRMAOS SOC AGRO PECUARIA, LDA",J.UNIV0015,"ARPON ""G"" - 100ML",2023,24,148.29,5343
130,"BARATA & IRMAOS SOC AGRO PECUARIA, LDA",J.ZA00055,RIDOMIL GOLD COMBI PEP-200GR,2023,150,602.37,5343
131,"BARATA & IRMAOS SOC AGRO PECUARIA, LDA",J.ZA00077,TOPAZE - 70 ML,2023,80,295.71,5343
132,"BARATA & IRMAOS SOC AGRO PECUARIA, LDA",J.ZA00088,QUADRIS MAX -150 ML,2023,60,331.3,5343
133,"BARATA & IRMAOS SOC AGRO PECUARIA, LDA",J.ZA00558,KARATE ZEON + 1.5CS-100ML,2023,400,803.16,5343
134,"BARATA & IRMAOS SOC AGRO PECUARIA, LDA",J.ZA00619,SCORE 250  EC - 20 ML,2023,72,187.28,5343
135,BUSINESS WAY - CONSULTORIA E ORGANIZAÇÃO DE TRANSPORTES,J.DAY0013,NATURCOMPLET-G-25KG,2023,0,0,21A
136,"CARDOSO E CARMO CONSTRUÇÕES, LDA",J.BARC002,GLYFOFLASH XL - 5LT,2023,0,0,4319
137,"CARDOSO E CARMO CONSTRUÇÕES, LDA",J.DAY0022,NATURFRUIT - 1LTº.,2023,12,127.33,4319
138,"CARDOSO E CARMO CONSTRUÇÕES, LDA",J.DAY0060,"NATURAMIN-WSP - 0,5KG",2023,30,374.49,4319
139,"CARDOSO E CARMO CONSTRUÇÕES, LDA",J.DAY0172,NATURAL WSP - 1KG,2023,20,720.9,4319
140,"CARDOSO E CARMO CONSTRUÇÕES, LDA",J.JOV00030,FERREX JARDIM - 300GR,2023,20,78.66,4319
141,"CARDOSO E CARMO CONSTRUÇÕES, LDA",J.JOV00038,AVALON - 250ML,2023,60,456.57,4319
142,"CARDOSO E CARMO CONSTRUÇÕES, LDA",J.JOV00083,KOSMET - 1LT,2023,12,187.11,4319
143,"CARDOSO E CARMO CONSTRUÇÕES, LDA",J.PEL004,VERTOX PELLET - 150GR,2023,70,53.87,4319
144,"CARDOSO E CARMO CONSTRUÇÕES, LDA",J.PEL007,ROBAN PASTA - 150GR,2023,70,56.86,4319
145,"CARDOSO E CARMO CONSTRUÇÕES, LDA",J.QM0034,MURIBROM PASTA BRODIF. - 1.5 KG 50PPM,2023,8,61.2,4319
146,"CARDOSO E CARMO CONSTRUÇÕES, LDA",PAL.PQ,PALETE PEQUENA,2023,0,0,4319
147,"CARLOS ALEXANDRE FRADE UNIPESSOAL, LDA",J.DAY0003,KELPAK- 5 LTº.,2023,0,0,21A
148,"CARLOS ALEXANDRE FRADE UNIPESSOAL, LDA",J.DAY0119,PODEX - 1 KG,2023,0,0,21A
149,"CARLOS ALEXANDRE FRADE UNIPESSOAL, LDA",J.ZA00055,RIDOMIL GOLD COMBI PEP-200GR,2023,0,0,21A
150,"CARLOS ALEXANDRE FRADE UNIPESSOAL, LDA",TRANSP.MERC.,Transporte de Mercadorias,2023,0,0,21A
151,"CASA AGRICOLA BRAGANÇA, LDA",J.UNIV0029,FOOTMASTER - 500ML,2023,36,561.51,4427
152,"CASA AGRICOLA BRAGANÇA, LDA",J.ZA00055,RIDOMIL GOLD COMBI PEP-200GR,2023,0,0,4427
153,"CASA AGRICOLA BRAGANÇA, LDA",J.ZA00588,CUPRANTOL DUO - 500GR,2023,0,0,4427
154,"CASA AGRICOLA BRAGANÇA, LDA",J.ZA00589,CUPRANTOL DUO - 5KG,2023,0,0,4427
155,"CASA AGRICOLA BRAGANÇA, LDA",J.ZA00613,COSTAR WG - 500GR,2023,0,0,4427
156,"CASA CAÇADOR-COM.AGROQUIMICOS UNIPESSOAL,LDA",J.JOV00020,FORMIGEL - 3UN,2023,24,58.48,3981
